text,label
"Congratulations! You've won a free vacation to the Bahamas. Click here to claim now!",1
"Meeting agenda for Monday's project discussion attached.",0
"URGENT: Your account has been compromised. Reset your password now!",1
"Here is the report you asked for. Let me know if any changes are needed.",0
"WINNER!! You've been selected for a $1000 gift card.",1
"Hi team, just a reminder about tomorrow's stand-up meeting at 10 AM.",0
"Get cheap meds now, no prescription needed!",1
"Thank you for your purchase. Your invoice is attached.",0
"Earn money from home with this simple trick. Limited offer!",1
"Looking forward to our call next week to discuss your application.",0
